TEMPERATURA;HUMEDAD;TIRANTE;TIRANTE_IDEAL;CAUDAL_REAL
31,9;24;2,978;2,39177606;26,4997722
31,9;24,3;2,934;2,39177606;26,4997722
31,9;23,9;2,966;2,39177606;26,4997722
31,8;23,6;2,955;2,39177606;26,4997722
31,8;23,5;2,987;2,39177606;26,4997722
31,7;23,5;2,998;2,39177606;26,4997722
31,6;23,6;2,984;2,39177606;26,4997722
31,6;23,8;3,029;2,39177606;26,4997722
31,6;23,8;2,97;2,39177606;26,4997722
31,5;23,7;2,937;2,39177606;26,4997722
31,5;23,7;2,951;2,39177606;26,4997722
31,4;23,7;3,034;2,39177606;26,4997722
31,5;24,2;3,008;2,39177606;26,4997722
31,4;24,2;3,055;2,39177606;26,4997722
31,4;24,5;2,968;2,39177606;26,4997722
31,5;25;3,008;2,39177606;26,4997722
31,4;24,8;3,029;2,39177606;26,4997722
32,1;25,8;3,139;2,210939086;23,6323704
32,2;25,3;2,902;2,210939086;23,6323704
32,2;25,7;2,954;2,210939086;23,6323704
32,3;25,2;2,922;2,210939086;23,6323704
32,3;25,3;2,89;2,210939086;23,6323704
32,4;25,4;2,88;2,210939086;23,6323704
32,3;25,2;2,879;2,210939086;23,6323704
32,4;25,8;2,903;2,210939086;23,6323704
32,4;25,7;2,937;2,210939086;23,6323704
32,5;25,6;2,888;2,210939086;23,6323704
32,5;25,7;2,906;2,210939086;23,6323704
32,5;25,4;2,876;2,210939086;23,6323704
32,6;25,4;2,924;2,210939086;23,6323704
32,6;25,2;2,944;2,210939086;23,6323704
32,6;25;2,823;2,210939086;23,6323704
32,6;25,1;2,869;2,210939086;23,6323704
32,7;24,7;2,905;2,210939086;23,6323704
32,7;24,3;2,869;2,210939086;23,6323704
32,7;24,2;2,89;2,210939086;23,6323704
32,7;24,4;2,874;2,210939086;23,6323704
32,7;24,4;2,909;2,210939086;23,6323704
32,6;24,4;2,869;2,210939086;23,6323704
32,7;24,6;2,834;2,210939086;23,6323704
32,6;24,6;2,815;2,210939086;23,6323704
32,6;24,4;2,917;2,210939086;23,6323704
32,6;24,3;2,868;2,210939086;23,6323704
32,6;24,6;2,868;2,210939086;23,6323704
32,6;24,8;2,886;2,210939086;23,6323704
32,6;24,4;2,932;2,210939086;23,6323704
32,7;24,3;2,855;2,210939086;23,6323704
32,7;24,1;2,813;2,210939086;23,6323704
32,6;23,9;2,828;2,210939086;23,6323704
32,6;23,7;2,859;2,210939086;23,6323704
32,6;23,9;2,894;2,210939086;23,6323704
32,6;24,1;2,883;2,210939086;23,6323704
32,6;24,1;2,908;2,210939086;23,6323704
32,6;24,1;2,898;2,210939086;23,6323704
