ID_MED;EXPERIMENTO;CAUDAL_MANNING;CAUDAL_REAL
304;4;46,62742696;60,57644205
305;4;48,45409776;60,57644205
306;4;46,62742696;60,57644205
307;4;48,08767443;60,57644205
308;4;45,35702367;60,57644205
309;4;45,9006328;60,57644205
310;4;43,3749631;60,57644205
311;4;45,71928722;60,57644205
312;4;43,91375737;60,57644205
313;4;47,53905369;60,57644205
314;4;44,63422339;60,57644205
315;4;44,27369619;60,57644205
316;4;45,35702367;60,57644205
317;4;45,35702367;60,57644205
318;4;43,91375737;60,57644205
319;4;43,55441184;60,57644205
320;4;46,08212013;60,57644205
321;4;44,99533415;60,57644205
322;4;48,08767443;60,57644205
323;4;46,62742696;60,57644205
324;4;41,58884046;60,57644205
325;4;48,45409776;60,57644205
326;4;44,27369619;60,57644205
327;4;37,01996095;60,57644205
328;4;47,17398906;60,57644205
329;4;46,99166316;60,57644205
330;4;48,27081884;60,57644205
331;4;44,99533415;60,57644205
332;4;47,35645276;60,57644205
333;4;48,45409776;60,57644205
334;4;44,81470613;60,57644205
335;4;45,35702367;60,57644205
336;4;44,09365293;60,57644205
337;4;44,99533415;60,57644205
338;4;46,8094756;60,57644205
339;4;44,63422339;60,57644205
340;4;45,71928722;60,57644205
341;4;47,90466508;60,57644205
342;4;44,81470613;60,57644205
343;4;45,71928722;60,57644205
344;4;47,53905369;60,57644205
345;4;46,08212013;60,57644205
346;4;46,26374865;60,57644205
347;4;46,99166316;60,57644205
348;4;45,9006328;60,57644205
349;4;46,99166316;60,57644205
350;4;46,62742696;60,57644205
351;4;47,17398906;60,57644205
352;4;46,62742696;60,57644205
353;4;45,35702367;60,57644205
354;4;46,26374865;60,57644205
355;4;47,17398906;60,57644205
356;4;48,27081884;60,57644205
357;4;46,44551779;60,57644205
358;4;48,27081884;60,57644205
359;4;48,82105701;60,57644205
360;4;48,08767443;60,57644205
361;4;40,17118957;60,57644205
362;4;47,35645276;60,57644205
363;4;46,44551779;60,57644205
364;4;46,99166316;60,57644205
365;4;48,45409776;60,57644205
366;4;45,71928722;60,57644205
367;4;45,71928722;60,57644205
368;4;41,76675869;60,57644205
369;4;45,35702367;60,57644205
370;4;45,53808398;60,57644205
371;4;44,63422339;60,57644205
372;4;48,08767443;60,57644205
373;4;46,99166316;60,57644205
374;4;47,17398906;60,57644205
375;4;46,26374865;60,57644205
376;4;47,17398906;60,57644205
377;4;45,35702367;60,57644205
378;4;47,17398906;60,57644205
379;4;46,8094756;60,57644205
380;4;46,8094756;60,57644205
381;4;47,90466508;60,57644205
382;4;48,82105701;60,57644205
383;4;46,99166316;60,57644205
384;4;46,8094756;60,57644205
385;4;46,44551779;60,57644205
386;4;48,08767443;60,57644205
387;4;45,9006328;60,57644205
388;4;45,71928722;60,57644205
389;4;46,8094756;60,57644205
390;4;47,17398906;60,57644205
391;4;45,17610686;60,57644205
392;4;46,44551779;60,57644205
393;4;47,90466508;60,57644205
394;4;46,8094756;60,57644205
395;4;47,53905369;60,57644205
396;4;45,53808398;60,57644205
397;4;46,62742696;60,57644205
398;4;46,8094756;60,57644205
399;4;46,08212013;60,57644205
400;4;46,08212013;60,57644205
401;5;70,6995804;90,13459482
402;5;56,26655639;90,13459482
403;5;53,82537936;90,13459482
404;5;51,77552296;90,13459482
405;5;46,8094756;90,13459482
406;5;67,1857768;90,13459482
407;5;63,89473825;90,13459482
408;5;56,07807807;90,13459482
409;5;60,82324688;90,13459482
410;5;60,6321488;90,13459482
411;5;57,39980297;90,13459482
412;5;57,58906958;90,13459482
413;5;50,47889254;90,13459482
414;5;56,83267293;90,13459482
415;5;49,00473626;90,13459482
416;5;53,07826966;90,13459482
417;5;67,57475013;90,13459482
418;5;54,01245701;90,13459482
419;5;67,76937502;90,13459482
420;5;57,39980297;90,13459482
